listing_name,listing_url,listing_price,listing_shipping_price,listing_authenticity,listing_Seller,listing_Seller_rating,listing_color,listing_brand,listing_size,,mid,new,running,shoes,,,,retro,mens
�??nike air jordan 1 mid linen 554724-082 size 10 men brand new fast ship�??,https://www.ebay.com/itm/185054006913?hash=item2b16140e81:g:QM8AAOSwl51hNaXe,170.00,18.35,Authenticity Guarantee,huynguyen1908,100.00%,White,Air Jordan,10,,,,,,,,,,
�??nike air jordan 1 mid linen 554724-082 size 9 men brand new fast ship�??,https://www.ebay.com/itm/185121890290?hash=item2b1a1fdff2:g:QM8AAOSwl51hNaXe,170.00,18.35,Authenticity Guarantee,huynguyen1908,100.00%,White,Air Jordan,9,,,,,,,,,,
[fv2808] mens adidas superstar brand new shoes box lot one 1 white blue size 9,https://www.ebay.com/itm/373659130560?hash=item56ffd1dac0:g:SD4AAOSwkRRg-9Ie,49.99,14.99,No Guarantee,louha_4602,100.00%,Blue,adidas,9,,,,,,,,,,
[new] adidas originals forum lo rs us men size 9,https://www.ebay.com/itm/234158599129?hash=item3684f0abd9:g:9K8AAOSw9X5hJu5W,120.00,9.30,Authenticity Guarantee,sealle8,100.00%,Red,adidas,9,,,,,,,,,,
[nike] air force 1 low experimental 'halloween' - size 13 *in hand*🎃,https://www.ebay.com/itm/234254676108?hash=item368aaab08c:g:8mQAAOSwpthhde9H,189.99,8.99,Authenticity Guarantee,crsn_jnes10,100.00%,Black,Nike,13,,,,,,,,,,
100% authentic jordan 1 retro high og light fusion red -men�??s size 9,https://www.ebay.com/itm/194388629922?hash=item2d427719a2:g:YREAAOSwxvdhTiQ5,179.99,9.30,Authenticity Guarantee,galaxykickz,100.00%,Red,Air Jordan,9,,,,,,,,,,
2 pair of stray rats new balance 574 green& red both size mens size 8 (w9)🔥,https://www.ebay.com/itm/184731489143?hash=item2b02dad377:g:jJgAAOSwzx1gYNol,250.00,0.00,No Guarantee,hidden-treasure-seller,100.00%,Red,New Balance,8,,,,,,,,,,
2011 new balance x whiz limited x mita sneakers cm1700 mw size 9,https://www.ebay.com/itm/284371895952?hash=item4235e2c690:g:DqkAAOSwmE5cDjad,369.99,42.00,No Guarantee,heiwakicks,100.00%,Blue,New Balance,9,,,,,,,,,,
2014 new balance x eye junya watanabe man comme des garcons mrl996co red size 9,https://www.ebay.com/itm/284490373304?hash=item423cf298b8:g:C8IAAOSwMudbg3mP,399.99,42.00,No Guarantee,heiwakicks,100.00%,Red,New Balance,9,,,,,,,,,,
2016 mens new balance 860 v6 run disney mickey mouse size 8 2e wide shoes,https://www.ebay.com/itm/402878210254?hash=item5dcd69a0ce:g:6E0AAOSw0vpgsBep,179.00,0.00,Authenticity Guarantee,insectabox,100.00%,Black,New Balance,8,,,,,,,,,,
2017 new balance running sneakers 550 sz 9 burgundy white ml155osa,https://www.ebay.com/itm/333620951513?hash=item4dad5bb9d9:g:fIkAAOSw1~JZUViC,89.99,0.00,No Guarantee,soleoriginal,97.70%,Red,New Balance,9,,,,,,,,,,
2020 nike air jordan 1 mid hyper royal blue black men's size 12 new 554724-077,https://www.ebay.com/p/21046950599?iid=274883839271,195.00,21.15,Authenticity Guarantee,1qikgtr,100.00%,Black,Air Jordan,12,,,,,,,,,,
2020 nike air jordan 6 vi retro dmp black gold size 11. ct4954-007,https://www.ebay.com/p/8039807996?iid=274450885758,280.00,0.00,Authenticity Guarantee,lincolnfootwear,95.00%,Black,Air Jordan,11,,,,,,,,,,
