listing_name,listing_url,listing_price,listing_shipping_price,listing_authenticity,listing_Seller,listing_Seller_url,listing_Seller_rating,listing_brand,listing_color,listing_model,listing_size
adidas originals nmd_r1 v2 paris boost black blue red white men casual fy2070,https://www.ebay.com/p/23040617995?iid=294181783824&var=593001158268,134.99,0,,,,,adidas,Red,NMD,
adidas originals nmd_r1.v2 black red white men casual lifestyle shoes gy7913,https://www.ebay.com/itm/294312016430?hash=item44865cfa2e:g:KUsAAOSwOIJhCjH9&var=593024190791,144.99,0,,id4shoes,https://www.ebay.com/usr/id4shoes?_trksid=p2047675.l2559,99.7% Positive feedback,adidas,Red,NMD,
adidas originals nmd_racer running shoe white/black men's size 9,https://www.ebay.com/itm/124965001796?hash=item1d187e9a44:g:olEAAOSwzPlfuBox,89.99,0,,828footwear,https://www.ebay.com/usr/828footwear?_trksid=p2047675.l2559,99.9% Positive feedback,adidas,Black,NMD,9
adidas originals nmdr1 shoes men's black red blue sizes 9 10 11,https://www.ebay.com/itm/402802960965?hash=item5dc8ed6a45:g:U4QAAOSwPc5gf-p~,86,8.5,,car_6363,https://www.ebay.com/usr/car_6363?_trksid=p2047675.l2559,,adidas,Red,NMD,
adidas originals orion mens trainers in navy and white,https://www.ebay.com/itm/154625804067?hash=item24006a8723:g:iYsAAOSwnothTwg5&var=454706032837,149.94,0,,diankastore,https://www.ebay.com/usr/diankastore?_trksid=p2047675.l2559,99.5% Positive feedback,adidas,Blue,,
adidas originals ozweego black xeno dark red men women unisex casual shoe ef4285,https://www.ebay.com/p/6039807052?iid=363151463858&var=632578120365,84.99,0,,,,,adidas,Red,,
adidas originals ozweego cloud white ee6464 unisex running shoes sneakers shoe,https://www.ebay.com/itm/114328428548?var=414574038663&epid=19039794930&_trkparms=ispr%3D1&hash=item1a9e816004:g:2wgAAOSw~-dfIYTm&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSD7krDaPk%252BwD1W%252Fj2C4MT30avFpb43CXHmz5iqZMhBGfTYH2qIiaRO0ONXhsyPRe2DH%252Bu0EutWv2sQeRZAOhKnnWBGasZMtWE4o509rbRyGxU6uxt%252FCV8iB22u%252BfKeRqbi29uNib3HnKMus7DWsICB6yez8YnYqVpp1JBIt6Zwmp8G5jtAuDMJe5BqFsuwzE%252B8q%252Bc%252BIc4S6w1vcn1J995w6rVg0I4WDg%252FIeK3qXVGQ2h8ebZOG%252FxGxJfc3vZxe1gMoLZy8LaLmnv3a77j7wBrLJw5rVJ5290GGX%252BkmaoccDSxTyMHagqsIdAywOWZw9J5vbZMUF8E9bMpI0b1UQM9%252FAGQIzRoVX3V7adw3JfP0fuWeM9ddR4Ff9aRGZfb2Bd9kQzNJAJ2cG4DXAQK0bMYPzoGbj5XxxQBNNhqRXjxQWpKj%252FUkVfUHwvkiUWLf%252F6yvHBokDmOTp6dbx%252BGhUxGV18fcPXZkmISVTu2rKic9VxCo9Cis8QcrhpNxn7tE3FGZYM5EbRVf8X6Mmimf69x1Yixn8wbuKFXIu3eEy1qiwXWMmpSGuzUEXSXbgLNw7gIsqycgHN5uSMU50xB6PdLBHVk36RXkqhCbMm91OpEiUDcsWrDC1%252FlkMbSgg9GrddZXFsmm917G%252FAKYPDa9pPVwVUaExOKYJ9zeKDJ7DNlHnZAP6q1IP%252F3J969Vf3poDzPdCSW7q4cKqksjdb%252F%252FTrThxT%252FyfDpT28t%252BnFPKcZOOeIepLP9I%252FNW%252F%252F764CVTZ7X%252B8i4%252BQXDnZuHRP6C4EwwDlZs2xGq2pF1AOOh%252B2seO024RXlGyOXg7GBoJuwTtK0mjI%7Campid%3APL_CLK%7Cclp%3A2499334,161.49,0,Authenticity Guarantee,chriscalifashion,https://www.ebay.com/usr/chriscalifashion?_trksid=p2047675.l2559,99.8% Positive feedback,adidas,Black,,
adidas originals ozweego mens shoes,https://www.ebay.com/itm/133882784269?hash=item1f2c092a0d:g:bgcAAOSwBHhhSTk0&var=433332006791,69.9,0,,myshoespot,https://www.ebay.com/usr/myshoespot?_trksid=p2047675.l2559,98.4% Positive feedback,adidas,Black,,
adidas originals ozweego ozwg black solar yellow red men women unisex g58800,https://www.ebay.com/itm/363330257017?hash=item54982bc079:g:Z~IAAOSw5~lgWBEO&var=632769588965,92.99,0,,id4shoes,https://www.ebay.com/usr/id4shoes?_trksid=p2047675.l2559,99.7% Positive feedback,adidas,Red,,
adidas originals ozweego pure ‘black solar red’ h04536 men’s us size 11,https://www.ebay.com/p/22048566961?iid=184975194800,100,9.8,Authenticity Guarantee,,,,adidas,Black,,11
adidas originals ozweego white green running men's shoes size 11,https://www.ebay.com/p/26042128256?iid=154343198745&rt=nc,101.18,4.82,,,,,adidas,White,,11
adidas originals pod-s3.1 boost db3539 men's running casual shoes real lilac,https://www.ebay.com/p/17039795447?iid=373066892529&var=641844507235,69.99,8.75,,,,,adidas,White,Boosts,
adidas originals pro model core black/blue/green | inclusivity size 7,https://www.ebay.com/itm/184860955293?hash=item2b0a92529d:g:6f0AAOSwWDBgPag8,59,9.55,,premiumgear86,https://www.ebay.com/usr/premiumgear86?_trksid=p2047675.l2559,100% Positive feedback,adidas,Blue,,7
adidas originals pro model melting sadness giraffe men casual lifestyle fz5398,https://www.ebay.com/p/21045982061?iid=313541546510&var=612370385392,179.99,0,,,,,adidas,Red,,
adidas originals pro model men’s high top sneakers size 14 m us grey/black/gold,https://www.ebay.com/itm/274956201754?_trkparms=ispr%3D1&hash=item4004aaaf1a:g:SVoAAOSwQ0thSlJ1&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsS53H5nE1T47BUn4%252FoYFCTGb2lJBem1YGZ33%252BzMzVHybOjfOdBQqQgDNkya%252Fj%252FjsfcFwAK81yXe7lBHHBURREK5dqdmWkm%252BDIaI6OBKmi9njMgXRRMfJObCid87frJaGYrnqAprpynfY5lxu2SRQDvk7gYlSbQcKEMahHqaz84Gk%252FNqWilsxKXSL%252FKbwGGJnX9EJC%252FOKz90PMZmsKAaCkWZfc0acXnRWWpU7XokyF7qHZrmk0sunvu0PmydGYLUPmTGEUk8KLN%252BMibqnGVd1pkS0eBp%252F2vCU%252BYibmVB09KsdH%252BToCsemwnGiptz3gil%252BbIxbRDKPt%252FSzHGiVHFJRSkjbZOk4rb6i%252BPmAXYdSO2IEWro8C%252BlwsugA6V2sxVH3MO39TNjKZFHXvLTxa6yWnzUYKNcYT0TzBUN2D5b7RduTVKsu%252BcDweoYkYd8%252F06MerzMKBtB8Yg02AFqiED4wOP%252B%252FGpo4DMSmcAnVt0RMYnkVk54AOgGuQV%252B6%252BwZ%252BDwMblguafXES%252FPbc72KzqBFnYrd84F6zqf2EA0V6PxEVGgBlZUPVVeU3hVnaVM690V0kcWlaxfp4WyC3TPaWcht2WN6e5%252BQzj2NSl2bi1lEAkpDyIqY3h3fyKH0Hgk0x7DPC1w%252FoDiMoy%252Bi6S85kNsi1fRM7esWenHJ4oXQoqYs%252FHsghyertaYosMRele69Tq2PLmOSdQXc7ErmdWgbSsdGfYyTlLm9gII2h5PU03qWmfVqG%252BmmorwS65yIvFTPSvmBzBp99As6McLtitocmGm4j%252BjxvmhRgQP8j6UlwmeGdYTLy9vMu3ZozuG3UMzYo4Kyvha%7Campid%3APL_CLK%7Cclp%3A2499334,79.95,9.95,,st3group,https://www.ebay.com/usr/st3group?_trksid=p2047675.l2559,99.8% Positive feedback,adidas,Black,,14
adidas originals pro model men's shoes clear brown-black -white bz0213 size 11,https://www.ebay.com/p/25039787904?iid=184867131407,59,12.7,,,,,adidas,White,,11
adidas originals pro model men's shoes clear brown-black -white bz0213 size 12,https://www.ebay.com/p/21039796675?iid=254685111836,75,9.95,,,,,adidas,White,,12
adidas originals pro model new york fv4497 mens size 12 legend ink new in box,https://www.ebay.com/p/17045627890?iid=154548760576,69,10.15,,,,,adidas,Blue,,12
adidas originals prophere shoes size 8 black solar red sneakers trainers nib,https://www.ebay.com/itm/353724659684?hash=item525ba1f7e4:g:EssAAOSw2NVfC0Pw,64.95,8.01,,frshendhype,https://www.ebay.com/usr/frshendhype?_trksid=p2047675.l2559,99.7% Positive feedback,adidas,Black,,8
"adidas originals prophere silhouette running shoe, men sz 10, red black cq3022",https://www.ebay.com/p/6039809473?iid=372968278369,59.82,0,,,,,adidas,Black,,
"adidas originals prophere silhouette running shoe, mensize10, red black cq3022",https://www.ebay.com/p/6039809473?iid=372968278369,59.82,0,,,,,adidas,Black,,
adidas originals prophere size 7 - 00-9551d5rf-vi . brand new,https://www.ebay.com/itm/202800089621?hash=item2f37d3ca15:g:ZJgAAOSwIh5dpOpx,84.99,9.1,,davidlee6,https://www.ebay.com/usr/davidlee6?_trksid=p2047675.l2559,99.2% Positive feedback,adidas,White,,7
adidas originals racer lite b24794 white sneakers size 9,https://www.ebay.com/p/20039802472?iid=224576110186,84.74,8.95,,,,,adidas,White,Racer,9
adidas originals racing 1 men’s athletic trainers running sneaker blue shoe,https://www.ebay.com/itm/304078689323?hash=item46cc80942b:g:mJIAAOSwtyhhUKkJ&var=603277584254,79.99,0,,sneaker_warehouse_m247,https://www.ebay.com/usr/sneaker_warehouse_m247?_trksid=p2047675.l2559,98.9% Positive feedback,adidas,Blue,,
adidas originals response cl cloud white black yellow running shoes mens fx7718,https://www.ebay.com/p/5045636416?iid=304182029733,69,6,,,,,adidas,Black,,
"adidas originals retro rouge trainers shoes men's us 10, uk 9 red royal blue",https://www.ebay.com/itm/255127679996?hash=item3b66cb73fc:g:jMYAAOSwemNhIEOK,169.99,13.99,Authenticity Guarantee,annascuteken,https://www.ebay.com/usr/annascuteken?_trksid=p2047675.l2559,100% Positive feedback,adidas,Blue,,
adidas originals rivalry low men's sneaker eg8062 leather white retro shoes new,https://www.ebay.com/itm/203661215425?hash=item2f6b2786c1:g:hHkAAOSw~tdhcWPz&var=504091751620,103.16,0,,brandstyle24,https://www.ebay.com/usr/brandstyle24?_trksid=p2047675.l2559,99.5% Positive feedback,adidas,White,,
adidas originals rivalry low premium white victory blue h04386 shoes sneakers,https://www.ebay.com/itm/124933529826?var=426009442546&_trkparms=ispr%3D1&hash=item1d169e60e2:g:hV8AAOSwdt5hWynx&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSdklQMNJI57wiNVfrbj6jFvaqsqehLh%252FaozXKACbnReBqut%252BJ%252FB%252FW6qjsu2sKH%252BWnO26pLaxZpyEV5cZcnv6znHRHCUykOGs0EhUTHGElLmVQs%252BRQJkq%252FSMf6Y59Nx3SFwuFsUjf1YvmXhknojpmH4q2tmRopABWdfRW2f8rPbv%252BHGZIMaGLRyMLR%252FI3G7lbkmr0oN5OcjFitXQ4dKsxd6F6WDFy1tysIGRyo0e4y3460Ei%252FlRuwpLAV3nVpCszb%252BGPLb9jU3IoPjR85MACNbDPH8sSx04utHR%252BLTaFmFWIyCwbCIbMSzdnwS9zaiYvKu7g6%252BYXobM1Qqd8okZaPbwWgOviFnb4WsrCzdtuwq3zEV9iKG%252B8N99YFy2h97JpVVdJcMwk1PB0s2%252Bq%252BZ2u26CXeSNuxP9TKQtpinMRYxaHMqB3YOENeIqtP97Y72XFjbZw3ypy3nSJYb6StL4d%252FHAWb8go6JZn1l9GBBfJ2Q3twEPMHccnDKq5KlaRdYzo6%252BHdFww7lxqzJXw5goxtSXWzM8BIoyFLlzsP%252BBD%252Fv6saFOInnOW9fGORp9z1DKXT17TAJJI%252Fyb8hTAqz9Rnt%252FooQc5AsX%252BprfZEJaHSfBAP6FMRPYkxPaxRoGrgmWBocQSRn2NzYYMzmvqoQhJp7nQBIto%252BBjkVm9rsT52pDdNKcuWaLKoBaqxPpsC3LYaeAMIbz3j8guT%252FCGKfNbSz265LYig%252FtmJ%252F9g%252BfZC3g9EXuL0KT8iz%252BslcU0um%252BDH7t4ELSz4Hz8Z8sNAMX1nbEQXqnnKyjkIl6R%252Bgpc0AEc6TOseppEutIjIczh0jV0mNbtDO%7Cclp%3A2499334%7Ctkp%3ABFBM-KySjZZf,161.49,0,Authenticity Guarantee,chriscalifashion,https://www.ebay.com/usr/chriscalifashion?_trksid=p2047675.l2559,99.8% Positive feedback,adidas,Blue,,
adidas originals rivalry low white gray ee4966 sneaker men us9,https://www.ebay.com/p/27039791616?iid=304188261545,192.99,35,,,,,adidas,White,,
adidas originals rivalry rm hi cloud crystal white boost men's sizes g27978,https://www.ebay.com/p/16039795645?iid=274184478047&var=574302453197,105.95,9.8,Authenticity Guarantee,,,,adidas,White,Boosts,
adidas originals rod laver fx5608 ftwr white/blue/red mens suede shoes,https://www.ebay.com/itm/265032365573?var=564883087025&hash=item3db528f605:g:0dAAAOSw7FBgFDvt,121.59,13.55,Authenticity Guarantee,read-play-wear,https://www.ebay.com/usr/read-play-wear?_trksid=p2047675.l2559,98% Positive feedback,adidas,Blue,,
adidas originals sabalo athletic shoes white blue gum bottom ee6095 mens size 10,https://www.ebay.com/p/20039803308?iid=393431354540,100,21.15,Authenticity Guarantee,,,,adidas,Blue,,10
adidas originals sabalo mens shoes,https://www.ebay.com/itm/133870897109?hash=item1f2b53c7d5:g:RHUAAOSw3JBhOBWo&var=433320976396,59.9,0,,myshoespot,https://www.ebay.com/usr/myshoespot?_trksid=p2047675.l2559,98.4% Positive feedback,adidas,Black,,
adidas originals sahale x fox brown black men casual lifestyle shoes fz2329,https://www.ebay.com/p/8045631930?iid=363410173155&var=632629183623,124.99,0,,,,,adidas,Red,,
adidas originals samba classic men’s casual sneakers black gum 034563 us sz 11,https://www.ebay.com/itm/124953935045?hash=item1d17d5bcc5:g:XdIAAOSwpflgeZ~G,55,0,,dvdguru17,https://www.ebay.com/usr/dvdguru17?_trksid=p2047675.l2559,99% Positive feedback,adidas,Black,,
adidas originals samba classic men’s casual sneakers black gum 034563 us sz 9,https://www.ebay.com/itm/124965299739?hash=item1d1883261b:g:XdIAAOSwpflgeZ~G,55,0,,dvdguru17,https://www.ebay.com/usr/dvdguru17?_trksid=p2047675.l2559,99% Positive feedback,adidas,Black,,
adidas originals samba classic men’s casual sneakers black gum 034563 ussize11,https://www.ebay.com/itm/124953935045?hash=item1d17d5bcc5:g:XdIAAOSwpflgeZ~G,55,0,,dvdguru17,https://www.ebay.com/usr/dvdguru17?_trksid=p2047675.l2559,99% Positive feedback,adidas,Black,,
adidas originals samba classic men’s casual sneakers black gum 034563 ussize9,https://www.ebay.com/itm/124965299739?hash=item1d1883261b:g:XdIAAOSwpflgeZ~G,55,0,,dvdguru17,https://www.ebay.com/usr/dvdguru17?_trksid=p2047675.l2559,99% Positive feedback,adidas,Black,,
adidas originals samba dark blue navy royal gum brown gold cq2089 men's 9 shoes,https://www.ebay.com/p/10047373375?iid=324123680963,199,15,Authenticity Guarantee,,,,adidas,Blue,,
adidas originals samba og men's shoes cloud white-legend marine bd7545,https://www.ebay.com/p/20044374777?iid=273873258242&var=573669440644,69.95,4.95,,,,,adidas,White,,
adidas originals samba og shoes cloud white/black indoor soccer bz0057 size 9,https://www.ebay.com/p/2310843256?iid=274994531193,100,5,Authenticity Guarantee,,,,adidas,Black,,9
adidas originals samba og shoes men's,https://www.ebay.com/itm/154623381765?hash=item2400459105:g:yzIAAOSwb8xhTNX4&var=454703279624,63,0,,adidas_official,https://www.ebay.com/usr/adidas_official?_trksid=p2047675.l2559,97.8% Positive feedback,adidas,White,,
adidas originals samba super suede leather og trainers shoes sneakers casuals,https://www.ebay.com/itm/403237415346?hash=item5de2d2a9b2:g:SYgAAOSwwo9hbFNv&var=673314372959,98.5,0,,trade-sports,https://www.ebay.com/usr/trade-sports?_trksid=p2047675.l2559,99.1% Positive feedback,adidas,Blue,,
adidas originals samoa shoes mens size 10 sneakers red white eg6087,https://www.ebay.com/itm/304187712443?epid=7045983328&_trkparms=ispr%3D1&hash=item46d30023bb:g:OgcAAOSwXLFgkPQC&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSsTrsimSq2LqQEOMrEDGZBTlzI%252BqG91v%252Fi%252Fn9ZLIzPJqLhN7umg2UEIM9aGvaObFAi3ON%252B9J4kJIFS%252FmXqk9OYVYx9q9aCVPlkvZVolE09rtQ5BtqFBWzewrYNq2oce9Msb9LSfA9vYpgUXH3T5E86ut73djnrS3%252BZgY%252B%252FYjdc3MECVcn65cLO2jbJEetmAfxM7lGhjqsslI38Y4T7A8ichCCV04dbsLAkEjHrDfk7MUAQahSm2j8DkykbzzC6SKge24cWgjPeWsMaftLyA3FveLpZbD0Vygk73zqVikzmuAk4VpJsYgNRUs4ILUqzlexfOaWfySwR4myZ1TMwG%252FH4f5W4v%252BeR8hwouPqsX775DO0UHEzADVoqAtH8vZecGd7d0hmLM2MaiRKuHNE5vGyrHjN%252BcsIHDVEs48W3jYpn0jI26eWos6pzf8pPKsB4ekFu5nhoIMOuK0vvHgRusFyaXQXNWvPyXmSpKssJzGQqq29tpYRr4DObQfLTSkSggZ6U%252FB4bI0QBKITQl3RYift2Ftw%252BLg8py61hTSYn%252Blehm7u6rRM9DLOcv4FSxKp2IFQ%252FDFeN0ab5EmcrKaJSYQ6yuaOVkDZXEASr8JASFGr3V3Tyu6uU2npq3lhuDNbPuEvca40k0lGms6XHi9SYRsFkLKnFe%252F29JYQs4acWRkXcpdBTBTqyf%252BMkd86OI921NuB2TDAUVkilahM3vXJ8kEVs2Kg7ZBhRasmiJY8RhIWjMY1W6wy4hgsCHha5Z9TnkvVj1fVYF%252BcW3GbZk1wdpjzAAzQPCAWK3181SEB%252FD538HjVNFz%252FGfs3pDIx8vaepGzf%7Cclp%3A2499334%7Ctkp%3ABFBMpMeitZZf,100,0,Authenticity Guarantee,shoestrong,https://www.ebay.com/usr/shoestrong?_trksid=p2047675.l2559,100% Positive feedback,adidas,Red,,10
adidas originals sc premier clean classics vegan leather sneakers shoes 36 2/3,https://www.ebay.com/p/11044384880?iid=274859661660,116.62,46.26,,,,,adidas,White,,
adidas originals sc premier clean classics vegan leather sneakers shoes 40 2/3,https://www.ebay.com/p/20042671487?iid=274859661369,116.62,46.34,,,,,adidas,White,,
adidas originals sc premier clean classics vegan leather sneakers shoes boxed 38,https://www.ebay.com/itm/274859660941?epid=0&hash=item3ffee9968d:g:R5cAAOSwpQxgtV8J,116.62,46.26,,swedishluxurysales,https://www.ebay.com/usr/swedishluxurysales?_trksid=p2047675.l2559,100% Positive feedback,adidas,White,,
adidas originals sc premier clean classics vegan leather sneakers shoes boxed 40,https://www.ebay.com/p/20042671487?iid=274859660997,116.62,46.26,,,,,adidas,White,,
adidas originals sc premiere white red grey blue men women unisex shoes ef5891,https://www.ebay.com/p/18044394730?iid=313344032101&var=612480512384,100,0,,,,,adidas,Red,,
"adidas originals seeley mens shoes size 9, color: carbon/footwear white/ash",https://www.ebay.com/itm/133871893399?hash=item1f2b62fb97:g:MxwAAOSwOQthOWdg,59.9,0,,myshoespot,https://www.ebay.com/usr/myshoespot?_trksid=p2047675.l2559,98.4% Positive feedback,adidas,White,,9
adidas originals skatebording forum 84 low adv chalk white fy7998 us 6,https://www.ebay.com/p/9045634509?iid=284251092614,238,0,,,,,adidas,White,Forumn,
adidas originals skatebording forum 84 low adv chalk white fy7998 us 7,https://www.ebay.com/p/9045634494?iid=284251092900,238,0,,,,,adidas,White,Forumn,
