listing_name,listing_url,listing_price,listing_shipping_price,listing_authenticity,listing_Seller,listing_Seller_url,listing_Seller_rating,listing_color,listing_brand,listing_model,listing_size
"new balance mens denim 574 shoes navy with red, size 11. brand new with box",https://www.ebay.com/itm/144255657956?hash=item21964ea7e4:g:q9oAAOSwdjhhcGba,$129.25,7.84,Authenticity Guarantee,bagelboy76,https://www.ebay.com/usr/bagelboy76?_trksid=p2047675.l2559,99.5% Positive feedback,Red,New Balance,400,Size 11
new balance mens drft shoes navy,https://www.ebay.com/itm/194004858890?_trkparms=ispr%3D1&hash=item2d2b97380a:g:ch8AAOSwYgBgZEsf&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSMJP5lymjvym%252B0KHUMc1dIYKMF7LekRZUeJmxdnagu1mpg4eSbKHcm7lK2Ew%252FW%252F8XudcweloerWhRiBYMEkJluOP4dzEhw9wQbJJpsACku82%252BQm%252Baj2VzYoc%252FHQGdBvJSAQXBLudVGNdi%252BqrQ7FAQ4RagEyEqCVi6J6tOGccjpKgypiCIzKfpTUNeKlZ%252Bi95%252BAHkpyi1ADF4hPRcvCaIgQkKAqxZ5ivQEI7CjpIsBtZIA69oXyxE%252BITE6Zxbb6JrPezF8KoZnTXqVUA7F0X9ROpUl3ItjF4tbRg%252F6uHMEqNmwj1iP0EcjL9Opz%252FGlZgVj5oSKmDOd6MpBA%252Ff5PaJwRCEK9QLWYf%252Be1EUX6EwJLOtXqr%252BwZQveMM3KOlha7VVLSDuWoemx4d8PyMIfsqXquVpizTlehu%252FbUHbg7t3JUW1PC%252FPDTxvyDTo0UF7MLb5A7eGND4p0BsSQt%252B%252BQ2KaqwyJwkLFn0hc65UWtaEIqh07bS3YhKwjTLeXhDQS9Nvu8R5EbtGxgFYb3j1kXfYMWiL9y449cpQsuZ%252BcUXEuhHj362ck4Xa7Tn5AQmekghHqB8i1FYukNYvdQeJi3Q6ahQZeTaYNursuWQHDORU4EoWC9qONG%252BrEyB6O5wZg3O0CpbclxEUyO%252Foej%252FaR%252FIQzl2jLxzi5kf%252F1YWeCzd59KgVVTXTO3RW8788gGOxoLOhwndXLFZgZEuIfIyzJMijX1hM%252FqXeBKai7pGMJJAJjfyUR8XZTYRTLxeG2fo9pMeZdgPL9sWcOoSJK%252FjyQ7TGnbMnzbJPsbYq830mdRSKqgWMliLVWnhttZmfCjxR%252FOdM0g%7Campid%3APL_CLK%7Cclp%3A2499334&var=494241813738,$42.29,0,"",joesoutlet,https://www.ebay.com/usr/joesoutlet?_trksid=p2047675.l2559,98.4% Positive feedback,Blue,New Balance,,
new balance mens dynasoft nitrel v4 lightweight 4e width trail running shoes,https://www.ebay.com/itm/121338129815?hash=item1c4050ed97:g:cmMAAOSwoKBfnyby&var=425291527592,$69.95,0,"",shoecityoutlet,https://www.ebay.com/usr/shoecityoutlet?_trksid=p2047675.l2559,99.3% Positive feedback,Blue,New Balance,,
new balance mens dynasoft nitrel v4 mtntrck4 grey/black/r running shoes-asst sz,https://www.ebay.com/itm/334164254821?hash=item4dcdbde065:g:yroAAOSwasRhUoyI,$64.99,12,"","","","",Black,New Balance,,
new balance mens extra wide 4e walking shoes mw577wt white leather 8 eeee,https://www.ebay.com/itm/284377227816?hash=item4236342228:g:TxsAAOSwnYFg9bJ-,$53.1,10.99,"",beachbaby40,https://www.ebay.com/usr/beachbaby40?_trksid=p2047675.l2559,100% Positive feedback,White,New Balance,500,
new balance mens fantom fit track spike,https://www.ebay.com/itm/223938255403?hash=item3423c29a2b:g:VP0AAOSwp7xeYoAk&var=522685110752,$29.2,0,"",ting_8110,https://www.ebay.com/usr/ting_8110?_trksid=p2047675.l2559,100% Positive feedback,Black,New Balance,,
new balance mens fashion sneakers 009 white ml009dmb,https://www.ebay.com/itm/112897063171?hash=item1a49307903:g:UwAAAOSwkhNaxioU&var=413296266067,$98.95,0,"",vampsnyc,https://www.ebay.com/usr/vampsnyc?_trksid=p2047675.l2559,98.4% Positive feedback,White,New Balance,,
new balance mens freeze lx 3.0 mid lacrosse football cleats - white - size 10,https://www.ebay.com/itm/185041853297?hash=item2b155a9b71:g:0UIAAOSw6hZhMQ5n,$100,8.29,"",mccartof,https://www.ebay.com/usr/mccartof?_trksid=p2047675.l2559,100% Positive feedback,White,New Balance,,Size 10
new balance mens freeze lx 3.0 mid lacrosse football cleats - white - size 8,https://www.ebay.com/itm/185041862613?hash=item2b155abfd5:g:0UIAAOSw6hZhMQ5n,$100,8.29,"",mccartof,https://www.ebay.com/usr/mccartof?_trksid=p2047675.l2559,100% Positive feedback,White,New Balance,,Size 8
new balance mens freeze v3 agility lacrosse shoe white/grey 11,https://www.ebay.com/itm/384261579273?hash=item5977c66209:g:GFYAAOSw~Y1g5Ism,$140,21.15,Authenticity Guarantee,terhill_62,https://www.ebay.com/usr/terhill_62?_trksid=p2047675.l2559,100% Positive feedback,White,New Balance,,
new balance mens freeze v3 turf lacrosse football shoe new size 10,https://www.ebay.com/itm/185029506276?hash=item2b149e34e4:g:ZOoAAOSwGvlhHTY6,$89.99,8.29,"",mccartof,https://www.ebay.com/usr/mccartof?_trksid=p2047675.l2559,100% Positive feedback,White,New Balance,,Size 10
new balance mens freezelx 2.0 box lacrosse shoe white/red 13 m us,https://www.ebay.com/itm/265371694023?hash=item3dc962b3c7:g:Jj0AAOSwreRhcmIo,$142.07,0,Authenticity Guarantee,japan7air5,https://www.ebay.com/usr/japan7air5?_trksid=p2047675.l2559,99.2% Positive feedback,Red,New Balance,,Size 13
new balance mens freezelx 2.0 box lacrosse shoe white/red 9 m us,https://www.ebay.com/itm/353733351321?hash=item525c269799:g:ZokAAOSwrhNhb9gL,$154.2,0,Authenticity Guarantee,yoshsuz-15,https://www.ebay.com/usr/yoshsuz-15?_trksid=p2047675.l2559,97.2% Positive feedback,Red,New Balance,,Size 9
new balance mens freezelx 2.0 turf lacrosse shoe white - size 15 m,https://www.ebay.com/itm/393524019169?hash=item5b9fdbffe1:g:r~8AAOSwYhJg5rLW,$79.99,0,"",vastagollc,https://www.ebay.com/usr/vastagollc?_trksid=p2047675.l2559,100% Positive feedback,White,New Balance,,Size 15
new balance mens fresh foam 1080 v10 running shoe light aluminum/white 16 wide,https://www.ebay.com/itm/313719708637?hash=item490b26dbdd:g:yIIAAOSwxalhcPlr,$133.22,0,"",j3.take,https://www.ebay.com/usr/j3.take?_trksid=p2047675.l2559,97.4% Positive feedback,White,New Balance,800,Size 16
new balance mens fresh foam 1080 v10 running shoe summer fog/neo crimson 10,https://www.ebay.com/itm/265345707230?hash=item3dc7d62cde:g:izcAAOSwwMZhXITm,$134.04,0,Authenticity Guarantee,japan7air5,https://www.ebay.com/usr/japan7air5?_trksid=p2047675.l2559,99.2% Positive feedback,Red,New Balance,800,
new balance mens fresh foam 1080 v10 running shoe summer fog/neo crimson 12,https://www.ebay.com/itm/234214441571?hash=item368844c263:g:Y34AAOSwj-JhWFG5,$133.22,0,Authenticity Guarantee,rakko-20,https://www.ebay.com/usr/rakko-20?_trksid=p2047675.l2559,97.7% Positive feedback,Red,New Balance,800,
new balance mens fresh foam 1080 v10 running shoe summer fog/neo crimson 13 ...,https://www.ebay.com/itm/284429074020?hash=item42394b3e64:g:ZU0AAOSwlI1hKuwq,$135.05,0,Authenticity Guarantee,nogitta,https://www.ebay.com/usr/nogitta?_trksid=p2047675.l2559,97.8% Positive feedback,Red,New Balance,800,Size 13
new balance mens fresh foam 1080 v10 running shoe summer fog/neo crimson 15 ...,https://www.ebay.com/itm/265366768259?hash=item3dc9178a83:g:CQwAAOSwr4BhbbRp,$134.81,0,Authenticity Guarantee,japan7air5,https://www.ebay.com/usr/japan7air5?_trksid=p2047675.l2559,99.2% Positive feedback,Red,New Balance,800,
